time	I(D)	I(L1)	I(a)
1.179357142857162e-002	8.614886e+001	1.414307e+002	1.414457e+002
1.180357142857162e-002	1.232831e+002	1.416140e+002	1.416290e+002
1.181357142857163e-002	1.420288e+002	1.419838e+002	1.419988e+002
1.188214285714307e-002	1.449422e+002	1.448972e+002	1.449122e+002
1.195071428571452e-002	1.477818e+002	1.477368e+002	1.477518e+002
1.201928571428597e-002	1.505476e+002	1.505026e+002	1.505176e+002
1.208785714285742e-002	1.532394e+002	1.531945e+002	1.532094e+002
1.215642857142887e-002	1.558575e+002	1.558125e+002	1.558275e+002
1.222500000000032e-002	1.584016e+002	1.583566e+002	1.583716e+002
1.229357142857177e-002	1.608719e+002	1.608269e+002	1.608419e+002
1.230357142857178e-002	1.208431e+002	1.610575e+002	1.208113e+002
1.231357142857178e-002	4.034065e+001	1.609129e+002	4.030503e+001
1.232357142857178e-002	4.500000e-002	1.603947e+002	7.501605e-003
1.238095238095247e-002	4.500000e-002	1.567509e+002	7.501568e-003
1.244595238095249e-002	4.500000e-002	1.527246e+002	7.501528e-003
1.245595238095249e-002	3.804621e+001	1.522390e+002	3.801059e+001
1.246595238095249e-002	1.141463e+002	1.521297e+002	1.141144e+002
1.247595238095250e-002	1.524400e+002	1.523950e+002	1.524100e+002
1.287595238095262e-002	1.668479e+002	1.668029e+002	1.668179e+002
1.288595238095262e-002	1.459157e+002	1.670720e+002	1.670870e+002
1.289595238095263e-002	1.038034e+002	1.671529e+002	1.671679e+002
1.290595238095263e-002	8.312315e+001	1.670463e+002	1.670613e+002
1.294880952380978e-002	8.595685e+001	1.663293e+002	1.663443e+002
1.299166666666694e-002	8.874431e+001	1.656240e+002	1.656390e+002
1.303452380952410e-002	9.148554e+001	1.649304e+002	1.649454e+002
1.307738095238125e-002	9.418054e+001	1.642486e+002	1.642636e+002
1.312023809523841e-002	9.682930e+001	1.635784e+002	1.635934e+002
1.316309523809557e-002	9.943182e+001	1.629199e+002	1.629349e+002
1.320595238095272e-002	1.019881e+002	1.622731e+002	1.622881e+002
1.321595238095272e-002	7.679810e+001	1.620613e+002	1.620763e+002
1.322595238095273e-002	2.567859e+001	1.616632e+002	1.616782e+002
