time	beta	alpha
1.695792391328053e-002	9.407477e+001	1.066817e+002
1.703363819899484e-002	9.771546e+001	1.072237e+002
1.704363819899484e-002	9.808125e+001	1.072318e+002
1.705363819899484e-002	9.812146e+001	1.070528e+002
1.706363819899485e-002	9.783740e+001	1.066874e+002
1.714285714285723e-002	9.478240e+001	1.033561e+002
1.722668555865081e-002	9.165421e+001	9.994492e+001
1.723668555865081e-002	9.139598e+001	9.960792e+001
1.724668555865081e-002	9.146292e+001	9.945939e+001
1.725668555865081e-002	9.185368e+001	9.949857e+001
1.732525698722226e-002	9.521781e+001	1.001846e+002
1.739382841579371e-002	9.849666e+001	1.008533e+002
1.746239984436516e-002	1.016902e+002	1.015046e+002
1.753097127293661e-002	1.047985e+002	1.021384e+002
1.759954270150806e-002	1.078215e+002	1.027549e+002
1.766811413007951e-002	1.107592e+002	1.033540e+002
1.773668555865096e-002	1.136116e+002	1.039357e+002
1.774668555865096e-002	1.140219e+002	1.038946e+002
1.775668555865097e-002	1.144306e+002	1.034795e+002
1.776668555865097e-002	1.148376e+002	1.026917e+002
1.785668555865100e-002	1.184285e+002	9.463710e+001
1.786668555865100e-002	1.187115e+002	9.382231e+001
1.787668555865100e-002	1.186693e+002	9.319789e+001
1.788668555865101e-002	1.183031e+002	9.276310e+001
1.809523809523819e-002	1.088250e+002	8.533121e+001
1.829023809523824e-002	1.006518e+002	7.892250e+001
1.830023809523824e-002	1.003577e+002	7.854475e+001
1.831023809523825e-002	1.003888e+002	7.798138e+001
1.832023809523825e-002	1.007439e+002	7.723315e+001
1.847023809523830e-002	1.074793e+002	6.545184e+001
1.848023809523830e-002	1.079141e+002	6.481605e+001
1.849023809523830e-002	1.083472e+002	6.455704e+001
1.850023809523831e-002	1.087785e+002	6.467332e+001
1.855880952380975e-002	1.112673e+002	6.606694e+001
1.861738095238120e-002	1.137016e+002	6.743004e+001
1.867595238095264e-002	1.160814e+002	6.876261e+001
1.873452380952409e-002	1.184067e+002	7.006467e+001
1.879309523809554e-002	1.206775e+002	7.133620e+001
1.885166666666699e-002	1.228937e+002	7.257722e+001
1.891023809523843e-002	1.250555e+002	7.378771e+001
1.892023809523843e-002	1.253120e+002	7.392949e+001
1.893023809523844e-002	1.252434e+002	7.388356e+001
1.894023809523844e-002	1.248510e+002	7.365070e+001
1.904761904761914e-002	1.195963e+002	7.055089e+001
1.915261904761917e-002	1.146729e+002	6.764655e+001
1.916261904761917e-002	1.143227e+002	6.743861e+001
1.917261904761917e-002	1.142980e+002	6.741862e+001
1.918261904761918e-002	1.145975e+002	6.758584e+001
1.953261904761929e-002	1.278952e+002	7.507719e+001
1.954261904761929e-002	1.282484e+002	7.515144e+001
1.955261904761929e-002	1.286002e+002	7.485113e+001
1.956261904761929e-002	1.289507e+002	7.417778e+001
1.960119047619073e-002	1.302884e+002	7.112897e+001
1.963976190476217e-002	1.316064e+002	6.812515e+001
1.967833333333361e-002	1.329047e+002	6.516632e+001
1.971690476190506e-002	1.341832e+002	6.225248e+001
1.975547619047650e-002	1.354420e+002	5.938364e+001
1.979404761904794e-002	1.366810e+002	5.655979e+001
1.983261904761938e-002	1.379003e+002	5.378093e+001
1.984261904761938e-002	1.381055e+002	5.312939e+001
1.985261904761938e-002	1.379858e+002	5.266759e+001
1.986261904761939e-002	1.375424e+002	5.239476e+001
1.989261904761940e-002	1.359001e+002	5.176915e+001
2.000000000000009e-002	1.301804e+002	4.959029e+001
2.012500000000013e-002	1.238257e+002	4.716958e+001
2.013500000000013e-002	1.234389e+002	4.691871e+001
2.014500000000014e-002	1.233778e+002	4.648172e+001
2.015500000000014e-002	1.236410e+002	4.585936e+001
2.020357142857158e-002	1.254239e+002	4.257395e+001
2.025214285714302e-002	1.271740e+002	3.934889e+001
2.030071428571447e-002	1.288913e+002	3.618419e+001
2.034928571428591e-002	1.305759e+002	3.307984e+001
2.039785714285736e-002	1.322277e+002	3.003585e+001
2.044642857142880e-002	1.338468e+002	2.705221e+001
2.049500000000024e-002	1.354331e+002	2.412892e+001
2.050500000000025e-002	1.357562e+002	2.365825e+001
2.051500000000025e-002	1.360780e+002	2.356371e+001
2.052500000000025e-002	1.363985e+002	2.384380e+001
2.055928571428598e-002	1.374873e+002	2.522066e+001
2.059357142857170e-002	1.385617e+002	2.657936e+001
2.062785714285743e-002	1.396217e+002	2.791991e+001
2.066214285714315e-002	1.406674e+002	2.924232e+001
2.069642857142888e-002	1.416988e+002	3.054657e+001
2.073071428571460e-002	1.427158e+002	3.183267e+001
2.076500000000033e-002	1.437184e+002	3.310062e+001
2.077500000000033e-002	1.439004e+002	3.340498e+001
2.078500000000033e-002	1.437575e+002	3.352099e+001
2.079500000000033e-002	1.432911e+002	3.344942e+001
2.095238095238105e-002	1.345396e+002	3.140650e+001
2.112738095238110e-002	1.254356e+002	2.928130e+001
2.113738095238110e-002	1.250424e+002	2.922666e+001
2.114738095238111e-002	1.249749e+002	2.935938e+001
2.115738095238111e-002	1.252318e+002	2.967868e+001
2.133738095238116e-002	1.315636e+002	3.629828e+001
2.134738095238117e-002	1.319022e+002	3.652748e+001
2.135738095238117e-002	1.322394e+002	3.638152e+001
2.136738095238117e-002	1.325753e+002	3.586189e+001
2.142738095238119e-002	1.345598e+002	3.205153e+001
2.148738095238121e-002	1.364998e+002	2.832652e+001
2.154738095238123e-002	1.383954e+002	2.468686e+001
2.160738095238125e-002	1.402466e+002	2.113254e+001
2.166738095238126e-002	1.420533e+002	1.766357e+001
2.172738095238128e-002	1.438155e+002	1.427995e+001
2.178738095238130e-002	1.455333e+002	1.098167e+001
2.179738095238130e-002	1.457081e+002	1.050116e+001
2.180738095238131e-002	1.455579e+002	1.020970e+001
2.181738095238131e-002	1.450843e+002	1.010652e+001
2.190476190476200e-002	1.400954e+002	9.758998e+000
2.198976190476203e-002	1.354082e+002	9.432487e+000
2.199976190476203e-002	1.349751e+002	9.332418e+000
2.200976190476203e-002	1.348679e+002	9.045626e+000
2.201976190476204e-002	1.350852e+002	8.572854e+000
2.204833333333347e-002	1.360086e+002	7.055389e+000
2.207690476190491e-002	1.369218e+002	5.554706e+000
2.210547619047635e-002	1.378248e+002	4.070804e+000
2.213404761904779e-002	1.387176e+002	2.603685e+000
2.216261904761922e-002	1.396001e+002	1.153347e+000
2.219119047619066e-002	1.404725e+002	-2.802081e-001
2.221976190476210e-002	1.413346e+002	-1.696982e+000
2.226119047619068e-002	1.425669e+002	-3.722073e+000
2.230261904761926e-002	1.437797e+002	-5.715172e+000
2.234404761904785e-002	1.449731e+002	-7.676278e+000
2.238547619047643e-002	1.461469e+002	-9.605392e+000
2.242690476190501e-002	1.473014e+002	-1.150251e+001
2.246833333333359e-002	1.484363e+002	-1.336764e+001
2.250976190476218e-002	1.495518e+002	-1.520078e+001
2.251976190476217e-002	1.498185e+002	-1.551429e+001
2.252976190476217e-002	1.500841e+002	-1.545229e+001
2.253976190476217e-002	1.503487e+002	-1.501629e+001
2.258976190476215e-002	1.516557e+002	-1.224351e+001
2.259976190476214e-002	1.518059e+002	-1.175796e+001
2.260976190476214e-002	1.516315e+002	-1.146148e+001
2.261976190476214e-002	1.511336e+002	-1.135330e+001
