time	V(U1M)	V(U1U2)	V(u1)
5.754622001648786e-003	-4.395276e+002	-5.687463e+002	8.679394e-002
5.763967525626836e-003	-4.999126e+002	-7.499019e+002	8.743632e-002
5.783912414311346e-003	-4.999110e+002	-7.498989e+002	8.899852e-002
5.803857302995858e-003	-4.999095e+002	-7.498960e+002	9.053132e-002
5.823802191680368e-003	-4.999080e+002	-7.498931e+002	9.203472e-002
5.843747080364879e-003	-4.999065e+002	-7.498903e+002	9.350873e-002
5.863691969049389e-003	-4.999050e+002	-7.498875e+002	9.495335e-002
5.883636857733901e-003	-4.999036e+002	-7.498848e+002	9.636857e-002
5.903581746418411e-003	-4.999022e+002	-7.498821e+002	9.775439e-002
5.913581746418414e-003	-3.749018e+002	-5.623811e+002	1.875982e+002
5.923581746418417e-003	-1.249019e+002	-1.873810e+002	5.625981e+002
5.933581746418420e-003	9.729004e-002	1.180420e-001	7.500973e+002
6.000000000000089e-003	9.100342e-002	1.104126e-001	7.500910e+002
6.065000000000105e-003	8.526611e-002	1.034546e-001	7.500853e+002
6.075000000000108e-003	-1.249153e+002	-1.873972e+002	5.625847e+002
6.085000000000111e-003	-3.749153e+002	-5.623970e+002	1.875847e+002
6.095000000000114e-003	-4.999147e+002	-7.498958e+002	8.527678e-002
6.112142857142977e-003	-4.999133e+002	-7.498933e+002	8.665846e-002
6.129285714285839e-003	-4.999120e+002	-7.498909e+002	8.801760e-002
6.146428571428701e-003	-4.999106e+002	-7.498885e+002	8.935421e-002
6.163571428571564e-003	-4.999093e+002	-7.498862e+002	9.066828e-002
6.180714285714426e-003	-4.999080e+002	-7.498839e+002	9.195982e-002
6.197857142857289e-003	-4.999068e+002	-7.498816e+002	9.322882e-002
6.215000000000151e-003	-4.999055e+002	-7.498793e+002	9.447528e-002
6.225000000000154e-003	-4.374049e+002	-5.623784e+002	9.508948e-002
6.235000000000157e-003	-3.124046e+002	-1.873784e+002	9.538661e-002
6.245000000000160e-003	-2.499046e+002	1.207387e-001	9.536985e-002
6.270714285714454e-003	-2.499049e+002	1.176763e-001	9.506352e-002
6.296428571428747e-003	-2.499052e+002	1.146870e-001	9.476452e-002
6.322142857143041e-003	-2.499055e+002	1.117708e-001	9.447282e-002
6.347857142857335e-003	-2.499058e+002	1.089277e-001	9.418844e-002
6.373571428571629e-003	-2.499061e+002	1.061577e-001	9.391137e-002
